[0.03 - 0.37] Going
[0.43 - 0.51] to
[0.59 - 0.61] a
[0.67 - 0.91] job
[0.97 - 1.31] interview
[1.35 - 1.55] can
[1.59 - 1.69] be
[1.79 - 2.49] nerve-wracking,
[2.79 - 2.91] but
[2.95 - 3.09] did
[3.17 - 3.33] you
[3.39 - 3.59] know
[3.65 - 3.75] that
[3.77 - 3.91] your
[4.00 - 4.29] body
[4.33 - 4.71] language
[4.79 - 4.92] can
[4.96 - 5.12] make
[5.18 - 5.20] a
[5.30 - 5.66] huge
[5.72 - 6.12] difference?
[6.56 - 6.70] From
[6.74 - 6.80] the
[6.86 - 6.96] way
[7.02 - 7.14] you
[7.22 - 7.48] walk
[7.54 - 7.72] into
[7.76 - 7.84] the
[7.88 - 8.12] room
[8.24 - 8.34] to
[8.40 - 8.56] how
[8.64 - 8.74] you
[8.80 - 8.94] say
[9.00 - 9.48] goodbye,
[9.70 - 9.86] your
[9.96 - 10.50] gestures,
[10.70 - 11.18] posture,
[11.30 - 11.38] and
[11.48 - 11.80] voice
[12.20 - 12.40] send
[12.52 - 13.00] powerful
[13.06 - 13.54] messages.
[14.20 - 14.26] In
[14.34 - 14.60] fact,
[14.78 - 15.14] according
[15.20 - 15.30] to
[15.35 - 16.09] psychologist
[16.32 - 16.63] Albert
[16.71 - 17.35] Morabian's
[17.37 - 18.03] 73855
[18.31 - 19.75] rule,
[20.21 - 20.41] only
[20.43 - 20.89] 7%
[21.05 - 21.37] of
[21.45 - 22.21] communication
[22.33 - 22.53] comes
[22.61 - 22.75] from
[22.77 - 23.19] words,
[23.57 - 23.75] while
[23.77 - 24.11] 38%
[24.83 - 24.89] is
[24.95 - 25.09] from
[25.11 - 25.27] your
[25.33 - 25.57] tone
[25.61 - 25.65] of
[25.71 - 25.99] voice
[26.39 - 26.47] and
[26.49 - 26.89] 55%
[27.09 - 27.86] is
[27.92 - 28.04] from
[28.08 - 28.20] your
[28.26 - 28.56] body
[28.60 - 29.40] language.
[29.38 - 29.66] This
[29.76 - 30.04] article
[30.10 - 30.24] will
[30.30 - 30.48] teach
[30.52 - 30.62] you
[30.70 - 30.88] how
[30.96 - 31.04] to
[31.20 - 31.32] use
[31.40 - 31.72] body
[31.78 - 32.14] language
[32.22 - 32.30] to
[32.36 - 32.62] appear
